Date,Open,High,Low,Close,Adj Close,Volume
2015-04-02,163.380005,163.970001,162.119995,162.800003,141.846848,1852600
2015-04-06,161.660004,165.990005,161.399994,165.479996,144.181915,2560300
2015-04-07,165.399994,167.570007,165.279999,166.210007,144.817963,2479500
2015-04-08,166.210007,167.220001,165.210007,166.270004,144.870285,1754400
2015-04-09,166.250000,167.179993,165.080002,166.789993,145.323349,1680100
2015-04-10,167.500000,167.699997,166.220001,167.070007,145.567245,1501900
2015-04-13,166.759995,167.360001,165.600006,165.839996,144.495560,1860400
2015-04-14,165.320007,166.479996,164.169998,165.990005,144.626282,1914300
2015-04-15,166.720001,167.339996,165.860001,166.440002,145.018387,1995800
2015-04-16,165.729996,166.649994,165.100006,165.889999,144.539169,1662800
2015-04-17,164.529999,164.539993,161.130005,161.710007,140.897141,3063500
2015-04-20,163.000000,165.389999,162.729996,164.509995,143.336761,2394200
2015-04-21,165.649994,165.699997,163.619995,164.000000,142.892365,1970500
2015-04-22,163.809998,164.889999,162.570007,164.669998,143.476151,2228800
2015-04-23,159.539993,161.449997,158.610001,159.660004,139.110962,5704500
2015-04-24,159.809998,159.809998,157.850006,158.990005,138.527222,3043500
2015-04-27,159.479996,160.070007,157.809998,157.979996,137.647156,3448800
2015-04-28,157.690002,158.360001,156.179993,158.330002,137.952133,3387900
2015-04-29,157.419998,157.929993,156.179993,156.970001,136.767212,3078600
2015-04-30,156.820007,157.919998,156.009995,156.389999,136.261826,3510200
2015-05-01,156.789993,158.089996,156.789993,157.679993,137.385803,2160100
2015-05-04,158.399994,159.850006,157.880005,159.020004,138.553360,2240300
2015-05-05,158.860001,159.449997,157.410004,157.910004,137.586212,1947700
2015-05-06,157.919998,159.080002,156.550003,157.639999,137.350967,2203100
2015-05-07,157.229996,159.199997,157.229996,158.610001,138.196121,2112900
2015-05-08,160.250000,161.399994,160.059998,160.600006,139.930008,2025500
2015-05-11,160.259995,161.000000,159.800003,159.899994,139.320099,1708700
2015-05-12,158.710007,160.399994,158.009995,160.070007,139.468216,1864800
2015-05-13,160.429993,161.740005,160.360001,161.309998,140.548615,2587900
2015-05-14,162.089996,163.300003,161.800003,163.149994,142.151764,2462500
2015-05-15,163.149994,163.770004,162.649994,163.300003,142.282455,1923800
2015-05-18,163.000000,163.589996,162.309998,162.869995,141.907822,1747800
2015-05-19,163.070007,163.589996,162.550003,163.119995,142.125641,2075100
2015-05-20,162.419998,163.070007,161.839996,161.899994,141.954697,1978100
2015-05-21,161.899994,162.350006,161.800003,162.059998,142.094940,2400800
2015-05-22,161.990005,162.330002,160.660004,160.979996,141.148041,1822700
2015-05-26,160.979996,161.320007,159.039993,159.589996,139.929260,2471100
2015-05-27,159.820007,161.309998,159.529999,161.020004,141.183075,2625900
2015-05-28,160.350006,160.889999,159.610001,160.869995,141.051544,1578100
2015-05-29,160.440002,160.789993,158.740005,159.080002,139.482086,2880500
2015-06-01,159.100006,159.759995,158.570007,158.979996,139.394409,1906100
2015-06-02,158.279999,159.880005,157.949997,159.080002,139.482086,2481100
2015-06-03,159.610001,160.500000,158.979996,160.160004,140.429016,2074500
2015-06-04,159.509995,160.380005,158.089996,158.350006,138.842010,2237600
2015-06-05,157.500000,157.970001,156.970001,157.080002,137.728516,2314800
2015-06-08,156.500000,157.410004,156.300003,156.589996,137.298859,1608600
2015-06-09,156.850006,158.259995,156.600006,156.979996,137.640793,1810800
2015-06-10,156.949997,159.570007,156.949997,159.039993,139.447052,1758900
2015-06-11,159.119995,160.360001,159.000000,159.860001,140.165970,1854200
2015-06-12,159.850006,159.990005,157.880005,158.039993,138.570190,1910500
2015-06-15,157.080002,157.320007,155.389999,155.869995,136.667526,2353100
2015-06-16,155.490005,157.039993,155.369995,156.490005,137.211166,1729300
2015-06-17,156.600006,157.589996,155.750000,156.949997,137.614487,1839400
2015-06-18,157.589996,160.240005,157.389999,159.619995,139.955536,2528900
2015-06-19,159.360001,159.880005,158.940002,158.949997,139.368103,3287200
2015-06-22,159.850006,160.699997,159.449997,159.679993,140.008148,1447400
2015-06-23,160.410004,160.869995,159.509995,159.839996,140.148453,2286400
2015-06-24,159.679993,159.960007,157.539993,157.539993,138.131805,2862900
2015-06-25,157.850006,158.320007,155.919998,155.919998,136.711380,2564000
2015-06-26,156.160004,157.990005,155.929993,157.089996,137.737228,2625500
2015-06-29,155.919998,156.440002,153.919998,153.949997,134.984085,2475000
2015-06-30,155.000000,155.300003,154.070007,154.300003,135.290970,2561000
2015-07-01,156.130005,156.429993,154.660004,155.649994,136.474625,1726800
2015-07-02,156.080002,156.080002,154.899994,155.380005,136.237930,2022400
2015-07-06,153.889999,155.580002,153.830002,155.080002,135.974884,2172200
